Time,o[t],d[t],v[t],M_fl[t],x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4
27840,0.989974,0.833991,0.099673,0.082293,-0.625337,1.956822,-0.960949,1.661795,-0.756806,1.781879,-1.090539,1.503863,-0.987687,2.091550
28160,0.948750,0.833782,0.090153,0.071316,-0.622735,1.958191,-0.958962,1.664043,-0.753377,1.783767,-1.088457,1.506232,-0.985274,2.094250
28480,0.934402,0.833661,0.105499,0.082181,-0.619790,1.960705,-0.957845,1.666807,-0.751004,1.785659,-1.086295,1.508494,-0.982593,2.096155
28800,0.941785,0.833695,0.096102,0.075456,-0.617642,1.963052,-0.956974,1.669669,-0.748273,1.788102,-1.084811,1.511268,-0.979811,2.098123
29120,0.965775,0.833466,0.107096,0.086206,-0.614618,1.964761,-0.955881,1.672452,-0.745604,1.789836,-1.083172,1.513924,-0.976702,2.100910
29440,0.913328,0.833570,0.099761,0.075950,-0.611575,1.965973,-0.954621,1.675168,-0.743426,1.792704,-1.081834,1.516757,-0.973567,2.102840
29760,0.970488,0.833360,0.091310,0.073849,-0.608554,1.967302,-0.953211,1.677809,-0.740098,1.794155,-1.080099,1.519325,-0.971346,2.104968
30080,0.967102,0.833577,0.091614,0.073855,-0.606402,1.970263,-0.951714,1.680402,-0.737052,1.796026,-1.078403,1.521916,-0.968258,2.105644
30400,0.955621,0.833384,0.092276,0.073488,-0.603495,1.971338,-0.950209,1.682995,-0.733854,1.797276,-1.076409,1.524268,-0.965514,2.108187
30720,0.927126,0.833513,0.088139,0.068111,-0.600494,1.972467,-0.948857,1.685680,-0.731685,1.799885,-1.074890,1.526939,-0.962120,2.110121
31040,0.985396,0.833185,0.095530,0.078432,-0.597388,1.974091,-0.947405,1.688302,-0.728505,1.801561,-1.073189,1.529535,-0.959988,2.112593
31360,0.988436,0.833385,0.094434,0.077790,-0.595372,1.977175,-0.945742,1.690797,-0.726251,1.803998,-1.071625,1.532176,-0.956723,2.113941
31680,0.978299,0.833136,0.089652,0.073072,-0.592623,1.978351,-0.943909,1.693170,-0.723080,1.805705,-1.069702,1.534609,-0.954430,2.116737
32000,0.993833,0.833130,0.095957,0.079452,-0.589791,1.980175,-0.941932,1.695429,-0.720840,1.808203,-1.067896,1.537066,-0.951201,2.118943
32320,0.976383,0.832738,0.107167,0.087135,-0.587527,1.983671,-0.939998,1.697721,-0.718068,1.810115,-1.065814,1.539342,-0.948887,2.121790
32640,0.936375,0.832894,0.094992,0.074084,-0.585460,1.985764,-0.939300,1.700618,-0.715746,1.812894,-1.064291,1.541995,-0.945471,2.123752
32960,0.926259,0.832599,0.082378,0.063530,-0.581842,1.985961,-0.938484,1.703507,-0.712927,1.814704,-1.062775,1.544633,-0.943362,2.126336
33280,0.950648,0.832755,0.098909,0.078302,-0.578931,1.988094,-0.937455,1.706323,-0.710580,1.817266,-1.061631,1.547491,-0.940481,2.127141
33600,0.939382,0.832485,0.092589,0.072406,-0.576737,1.990411,-0.936226,1.709058,-0.706972,1.818786,-1.059976,1.550047,-0.938045,2.129573
33920,0.952293,0.832331,0.112775,0.089388,-0.573991,1.993013,-0.934786,1.711683,-0.704610,1.820835,-1.058216,1.552491,-0.935382,2.131624
